Time,t1,t2,t3
0,17.02001501,16.02001501,15.02001501
0.5,17.00011434,16.00011434,15.00011434
1,17.01443227,16.01443227,15.01443227
1.5,17.06272381,16.06272381,15.06272381
2,17.14416269,16.14416269,15.14416269
2.5,17.25735546,16.25735546,15.25735546
3,17.40036536,16.40036536,15.40036536
3.5,17.57074545,16.57074545,15.57074545
4,17.76558048,16.76558048,15.76558048
4.5,17.98153677,16.98153677,15.98153677
5,18.21491925,17.21491925,16.21491925
5.5,18.46173468,17.46173468,16.46173468
6,18.71775998,17.71775998,16.71775998
6.5,18.97861449,17.97861449,16.97861449
7,19.2398349,18.2398349,17.2398349
7.5,19.49695168,18.49695168,17.49695168
8,19.74556547,18.74556547,17.74556547
8.5,19.98142243,18.98142243,17.98142243
9,20.20048699,19.20048699,18.20048699
9.5,20.39901087,19.39901087,18.39901087
10,20.5735973,19.5735973,18.5735973
10.5,20.72125903,19.72125903,18.72125903
11,20.83946955,19.83946955,18.83946955
11.5,20.92620623,19.92620623,18.92620623
12,20.97998499,19.97998499,18.97998499
12.5,20.99988566,19.99988566,18.99988566
13,20.98556773,19.98556773,18.98556773
13.5,20.93727619,19.93727619,18.93727619
14,20.85583731,19.85583731,18.85583731
14.5,20.74264454,19.74264454,18.74264454
15,20.59963464,19.59963464,18.59963464
15.5,20.42925455,19.42925455,18.42925455
16,20.23441952,19.23441952,18.23441952
16.5,20.01846323,19.01846323,18.01846323
17,19.78508075,18.78508075,17.78508075
17.5,19.53826532,18.53826532,17.53826532
18,19.28224002,18.28224002,17.28224002
18.5,19.02138551,18.02138551,17.02138551
19,18.7601651,17.7601651,16.7601651
19.5,18.50304832,17.50304832,16.50304832
20,18.25443453,17.25443453,16.25443453
20.5,18.01857757,17.01857757,16.01857757
21,17.79951301,16.79951301,15.79951301
21.5,17.60098913,16.60098913,15.60098913
22,17.4264027,16.4264027,15.4264027
22.5,17.27874097,16.27874097,15.27874097
23,17.16053045,16.16053045,15.16053045
23.5,17.07379377,16.07379377,15.07379377
